first,last,team,cost,total_points,goals_scored,assists,clean_sheets,minutes,popularity,play_chance,full_name,goals_per_90,assists_per_90,points_per_million,is_playing_next
Vitaly,Janelt,4,4.8,73,1,3,6,2251,0.2,0.0,Vitaly Janelt,0.03998222852136803,0.11994668556410408,15.208330164931215,False
Mathias,Jensen,4,5.3,37,0,2,2,836,0.1,100.0,Mathias Jensen,0.0,0.2153109816052771,6.9811307582772155,True
Kim,Ji-soo,4,3.9,3,0,0,0,28,0.3,,Kim Ji-soo,0.0,0.0,0.769230571992161,True
Yunus Emre,Konak,4,4.4,10,0,0,0,53,0.1,100.0,Yunus Emre Konak,0.0,0.0,2.2727267561984643,True
Keane,Lewis-Potter,4,5.0,92,1,5,8,3001,0.1,,Keane Lewis-Potter,0.029990002432822325,0.14995001216411163,18.399996320000735,True
Bryan,Mbeumo,4,8.3,228,19,9,9,3325,46.9,100.0,Bryan Mbeumo,0.5142857003651992,0.24360901596246276,27.46987620844865,True
Ben,Mee,4,4.2,9,0,0,1,180,0.3,100.0,Ben Mee,0.0,0.0,2.1428566326531824,True
Christian,Nørgaard,4,4.8,99,5,4,6,2730,0.2,100.0,Christian Nørgaard,0.1648351594010387,0.13186812752083096,20.624995703125894,True
Frank,Onyeka,4,4.9,2,0,0,0,23,0.0,0.0,Frank Onyeka,0.0,0.0,0.40816318200751384,False
Myles,Peart-Harris,4,4.5,0,0,0,0,0,0.0,0.0,Myles Peart-Harris,0.0,0.0,0.0,False
Ethan,Pinnock,4,4.4,47,2,0,2,1912,0.3,100.0,Ethan Pinnock,0.09414225498284365,0.0,10.681815754132781,True
Mads,Roerslev Rasmussen,4,4.3,36,0,2,2,1100,0.1,0.0,Mads Roerslev Rasmussen,0.0,0.163636350247935,8.37209107625789,False
Kevin,Schade,4,5.3,147,11,4,10,2201,3.5,100.0,Kevin Schade,0.44979552908605286,0.1635620105767465,27.735843823425693,True
Igor Thiago,Nascimento Rodrigues,4,5.9,8,0,0,0,158,0.0,100.0,Igor Thiago Nascimento Rodrigues,0.0,0.0,1.355931973570852,True
Ivan,Toney,4,7.3,0,0,0,0,0,1.1,0.0,Ivan Toney,0.0,0.0,0.0,False
Hákon,Valdimarsson,4,3.9,2,0,0,0,144,3.0,,Hákon Valdimarsson,0.0,0.0,0.5128203813281074,True
Yoane,Wissa,4,6.9,184,18,6,9,2831,22.5,100.0,Yoane Wissa,0.5722359408331915,0.19074531361106384,26.666662801932926,True
Yehor,Yarmoliuk,4,4.3,41,0,0,3,1345,2.3,,Yehor Yarmoliuk,0.0,0.0,9.53488150351593,True
Mathias,Jorgensen,4,4.5,0,0,0,0,0,0.0,0.0,Mathias Jorgensen,0.0,0.0,0.0,False
Fábio,Freitas Gouveia Carvalho,4,4.5,35,2,1,0,443,0.4,0.0,Fábio Freitas Gouveia Carvalho,0.4063204592125478,0.2031602296062739,7.7777760493831,False
Sepp,van den Berg,4,4.1,60,0,1,5,2494,1.5,100.0,Sepp van den Berg,0.0,0.036086606556618044,14.6341427721603,True
Ryan,Trevitt,4,4.4,1,0,0,0,3,0.0,0.0,Ryan Trevitt,0.0,0.0,0.22727267561984643,False
Gustavo,Nunes Fernandes Gomes,4,4.9,3,0,0,0,11,0.0,100.0,Gustavo Nunes Fernandes Gomes,0.0,0.0,0.6122447730112708,True
Jayden,Meghoma,4,4.0,1,0,0,0,4,0.0,0.0,Jayden Meghoma,0.0,0.0,0.24999993750001562,False
Tony,Yogane,4,4.5,0,0,0,0,0,0.0,0.0,Tony Yogane,0.0,0.0,0.0,False
